Name,Category,Subcategory,Subsubcategory,URL,serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,sugars,protein,caffeine
Caramel Ribbon Crunch Crème Frappuccino® Blended Beverage,drinks,frappuccino® blended beverages,creme frappuccino®,https://www.starbucks.com/menu/product/1062/iced, 12 fl oz,300.0, 16 g, 10 g, 0.5 g, 50 mg, 200 mg, 36 g, 0 g, 33 g, 4 g, 0 mg
Strawberry Crème Frappuccino® Blended Beverage,drinks,frappuccino® blended beverages,creme frappuccino®,https://www.starbucks.com/menu/product/2122724/iced, 12 fl oz,250.0, 11 g, 7 g, 0 g, 35 mg, 160 mg, 33 g, 0 g, 32 g, 4 g, 0 mg
Chai Crème Frappuccino®,drinks,frappuccino® blended beverages,creme frappuccino®,https://www.starbucks.com/menu/product/438/iced, 12 fl oz,230.0, 11 g, 7 g, 0 g, 35 mg, 160 mg, 29 g, 0 g, 29 g, 4 g, 20 mg
Double Chocolaty Chip Crème Frappuccino® Blended Beverage,drinks,frappuccino® blended beverages,creme frappuccino®,https://www.starbucks.com/menu/product/435/iced, 12 fl oz,290.0, 14 g, 9 g, 0 g, 35 mg, 190 mg, 36 g, 2 g, 33 g, 5 g, 10 mg
Matcha Crème Frappuccino® Blended Beverage,drinks,frappuccino® blended beverages,creme frappuccino®,https://www.starbucks.com/menu/product/439/iced, 12 fl oz,300.0, 12 g, 7 g, 0 g, 35 mg, 170 mg, 44 g, 1 g, 43 g, 5 g, 50 mg
Vanilla Bean Crème Frappuccino® Blended Crème,drinks,frappuccino® blended beverages,creme frappuccino®,https://www.starbucks.com/menu/product/440/iced, 12 fl oz,260.0, 12 g, 7 g, 0 g, 35 mg, 170 mg, 35 g, 0 g, 35 g, 4 g, 0 mg
White Chocolate Crème Frappuccino® Blended Beverage,drinks,frappuccino® blended beverages,creme frappuccino®,https://www.starbucks.com/menu/product/441/iced, 12 fl oz,240.0, 12 g, 8 g, 0 g, 35 mg, 170 mg, 28 g, 0 g, 28 g, 4 g, 0 mg
Iced Black Tea,drinks,iced tea and lemonade,iced black teas,https://www.starbucks.com/menu/product/457/iced, 12 fl oz,0.0, 0 g, 0 g, 0 g, 0 mg, 5 mg, 0 g, 0 g, 0 g, 0 g, 20 mg
Iced Black Tea Lemonade,drinks,iced tea and lemonade,iced black teas,https://www.starbucks.com/menu/product/458/iced, 12 fl oz,35.0, 0 g, 0 g, 0 g, 0 mg, 5 mg, 9 g, 0 g, 8 g, 0 g, 20 mg
Iced Royal English Breakfast Latte,drinks,iced tea and lemonade,iced black teas,https://www.starbucks.com/menu/product/465/iced, 12 fl oz,80.0, 1 g, 0.5 g, 0 g, 5 mg, 30 mg, 17 g, 0 g, 17 g, 2 g, 20 mg
Iced London Fog Latte,drinks,iced tea and lemonade,iced black teas,https://www.starbucks.com/menu/product/477/iced, 12 fl oz,100.0, 2 g, 1 g, 0 g, 5 mg, 50 mg, 19 g, 0 g, 19 g, 3 g, 40 mg
Iced Chai Latte,drinks,iced tea and lemonade,iced chai teas,https://www.starbucks.com/menu/product/466/iced, 12 fl oz,180.0, 3 g, 1.5 g, 0 g, 10 mg, 80 mg, 33 g, 0 g, 31 g, 5 g, 70 mg
Iced Chai Latte with Oleato Golden Foam™,drinks,iced tea and lemonade,iced chai teas,https://www.starbucks.com/menu/product/2123780/iced, 12 fl oz,430.0, 27 g, 12 g, 0.5 g, 55 mg, 100 mg, 43 g, 0 g, 42 g, 7 g, 70 mg
